county	district	1	2	3	4	5	6	7	8	9	10	11	12	13	14
001	012												1		
003	008								1						
005	001	1													
007	002		1												
009	010										1				
011	009									1					
013	010										1				
015	011											1			
017	008								1						
019	008								1						
021	002		1												
021	008								1						
023	008								1						
025	001	1													
027	008								1						
029	001	1													
031	012												1		
033	012												1		
035	010										1				
037	002		1												
039	001	1													
043	012												1		
045	003			1											
047	014														1
049	001	1													
051	001	1													
053	002		1												
055	014														1
057	011											1			
059	009									1					
059	010										1				
061	002		1												
063	005					1									
063	013													1	
065	001	1													
067	006						1								
067	011											1			
067	013													1	
069	012												1		
071	008								1						
073	010										1				
073	012												1		
075	008								1						
077	003			1											
079	002		1												
081	002		1												
083	014														1
085	009									1					
087	002		1												
089	004				1										
089	005					1									
089	006						1								
091	008								1						
093	002		1												
095	002		1												
097	013													1	
099	002		1												
101	001	1													
103	001	1													
103	012												1		
105	009									1					
107	012												1		
109	012												1		
111	009									1					
113	003			1											
113	013													1	
115	014														1
117	007							1							
117	009									1					
119	009									1					
121	005					1									
121	006						1								
121	011											1			
121	013													1	
123	009									1					
125	010										1				
127	001	1													
129	014														1
131	002		1												
133	010										1				
135	004				1										
135	007							1							
135	010										1				
137	009									1					
139	009									1					
141	010										1				
143	014														1
145	003			1											
147	009									1					
149	003			1											
151	003			1											
151	010										1				
151	013													1	
153	008								1						
155	008								1						
157	009									1					
159	010										1				
161	012												1		
163	010										1				
165	012												1		
167	010										1				
169	008								1						
171	003			1											
173	008								1						
175	012												1		
177	002		1												
179	001	1													
181	010										1				
183	001	1													
185	001	1													
185	008								1						
187	009									1					
189	010										1				
191	001	1													
193	002		1												
195	009									1					
197	002		1												
199	003			1											
201	002		1												
205	002		1												
207	008								1						
209	012												1		
211	010										1				
213	014														1
215	002		1												
215	003			1											
217	004				1										
217	010										1				
219	010										1				
221	010										1				
223	014														1
225	002		1												
227	009									1					
227	014														1
229	001	1													
231	003			1											
233	014														1
235	008								1						
237	010										1				
239	002		1												
241	009									1					
243	002		1												
245	012												1		
247	004				1										
249	002		1												
251	012												1		
253	002		1												
255	003			1											
257	009									1					
259	002		1												
261	002		1												
263	002		1												
265	010										1				
267	012												1		
269	002		1												
271	008								1						
273	002		1												
275	008								1						
277	008								1						
279	012												1		
281	009									1					
283	012												1		
285	003			1											
287	008								1						
289	008								1						
291	009									1					
293	003			1											
295	014														1
297	010										1				
299	001	1													
301	010										1				
303	010										1				
305	001	1													
307	002		1												
309	012												1		
311	009									1					
313	014														1
315	008								1						
317	010										1				
319	008								1						
321	008								1						
