"","Sub.Recipient.ID","Sub.Recipient.Agency.x","Intercity.Bus","Mode","Vehicle.Revenue.Miles","Vehicle.Revenue.Hours","Unlinked.Passenger.Trips","Sponsored.Unlinked.Passenger.Trips","Total.Trips","Abbr","counties"
"1","4R03-001","Banks County Transit","N","Demand Response",68851,3848,6317,0,6317,NA,"Banks"
"2","4R03-003","Dawson County Transit","N","Demand Response",92539,6003,3979,6092,10071,NA,"Dawson"
"3","4R03-004","Elbert County ","N","Demand Response",56779,4785,3705,3154,6859,NA,"Elbert"
"4","4R03-005","Forsyth County Public Transportation","N","Demand Response",173707,9919,16808,0,16808,"Forsyth County Dial- A-Ride","Forsyth"
"5","4R03-006","Habersham County Transit","N","Demand Response",27636,1843,1770,1307,3077,NA,"Habersham"
"6","4R03-008","Hart County Public Transit","N","Demand Response",55950,3190,6894,3049,9943,"N/A","Hart"
"7","4R03-009","Jackson County","N","Demand Response",41372,2342,2649,0,2649,"N/A","Jackson"
"8","4R03-010","Lumpkin County ","N","Demand Response",46255,3736,5470,511,5981,"N/A","Lumpkin "
"9","4R03-011","Rabun County","N","Demand Response",119799,6796,2723,7684,10407,"N/A","Rabun"
"10","4R03-012","Union County Transit","N","Demand Response",52694,3940,6167,0,6167,"N/A","Union"
"11","4R03-013","Walker County","N","Demand Response",574827,22555,36805,0,36805,"N/A","Walker"
"12","4R03-014","Social Circle Area Transit","N","Demand Response",32373,3944,8541,284,8825,"N/A","Walton"
"13","4R03-015","Baldwin County Transit","N","Demand Response",73586,3947,11169,0,11169,"BCT","Baldwin"
"14","4R03-016","Bleckley County Transit","N","Demand Response",67589,5736,5174,1372,6546,"BCT","Bleckey"
"15","4R03-017","Burke County Transit","N","Demand Response",177579,9368,6546,13602,20148,"BT","Burke"
"16","4R03-018","Columbia County  CommissionTransit","N","Demand Response",233449,14094,13140,32538,45678,"CCT","Columbia"
"17","4R03-019","Dodge County Transit","N","Demand Response",77406,5820,14860,2044,16904,"DCT","Dodge"
"18","4R03-020","Glascock County Transit","N","Demand Response",35482,3363,3573,4283,7856,"GT","Glascock"
"19","4R03-021","Greene County Commission Transit","N","Demand Response",221839,9578,6988,12748,19736,"GT","Greene"
"20","4R03-022","Hancock County Transit","N","Demand Response",127097,8530,1466,10713,12179,"HCT","Hancock"
"21","4R03-023","Jefferson County Transit","N","Demand Response",177827,11719,15784,5151,20935,"JCT","Jefferson"
"22","4R03-024","Jenkins County Transit","N","Demand Response",18067,1807,4063,0,4063,"JCT","Jenkins"
"23","4R03-025","Lincoln County Transit","N","Demand Response",47032,5536,10703,1868,12571,"LCT","Lincoln"
"24","4R03-026","McDuffie County Commission Transit","N","Demand Response",95789,6600,26770,12945,39715,"MT","McDuffie"
"25","4R03-027","Morgan County Transit","N","Demand Response",121276,7858,11254,11908,23162,"MT","Morgan"
"26","4R03-028","Putnam County CommissionTransit","N","Demand Response",90003,4957,16899,0,16899,"PCT","Putnam"
"27","4R03-030","Taliaferro County Board of Commissioners","N","Demand Response",39442,2865,5489,204,5693,"TCT","Taliaferro"
"28","4R03-031","Treutlen County Commission","N","Demand Response",16326,1157,3897,71,3968,"TCT","Treutlen"
"29","4R03-032","Warren County Commission Transit","N","Demand Response",53890,3690,2516,2686,5202,"WCT","Warren"
"30","4R03-033","Wilkes County Commission Transit","N","Demand Response",91539,5362,11089,3243,14332,"WCT","Wilkes"
"31","4R03-034","Wilkinson County Commission Transit","N","Demand Response",101400,4823,10800,47,10847,"WCT","Wilkinson"
"32","4R03-035","Three Rivers Regional Commission","N","Demand Response",510415,22919,9676,64844,74520,"COATS","Butts, Lamar, Upson, Pike, Spalding "
"33","4R03-036","Crawford County Transit","N","Demand Response",71234,5104,2694,335,3029,"CCT","Crawford"
"34","4R03-039","Heard County Transit","N","Demand Response",77378,5000,3023,4577,7600,"HCT","Heard"
"35","4R03-041","Jones County Transit","N","Demand Response",52838,5448,3160,3434,6594,"N/A","Jones"
"36","4R03-042","Macon County Transit","N","Demand Response",71082,4931,6866,3066,9932,"MCT","Macon"
"37","4R03-043","Peach County Transit","N","Demand Response",103840,4932,6046,8138,14184,"PCT","Peach"
"38","4R03-044","Pulaski County Transit","N","Demand Response",22684,1984,5347,133,5480,"PCT","Pulaski"
"39","4R03-045","City of Americus","N","Demand Response",72610,5996,24824,0,24824,"AT","Sumter"
"40","4R03-046","Talbot County Transit","N","Demand Response",193740,10170,14098,18009,32107,"TCT","Talbot"
"41","4R03-047","Taylor County Transit","N","Demand Response",142346,5887,3050,8499,11549,"TCT","Taylor"
"42","4R03-048","Troup County Transit","N","Demand Response",110495,5867,1620,23281,24901,"TCT","Troup"
"43","4R03-049","Twiggs County Transit","N","Demand Response",70866,3752,2881,3557,6438,"TCT","Twiggs"
"44","4R03-050","Brooks County Transit","N","Demand Response",177079,10319,2097,20242,22339,NA,"Brooks"
"45","4R03-054","Cook County Transit","N","Demand Response",263133,15053,3619,22927,26546,"N/A","Cook"
"46","4R03-055","Crisp County Transit","N","Demand Response",185490,11809,6741,11346,18087,"N/A","Crisp"
"47","4R03-063","Thomas County Transit","N","Demand Response",519696,31833,40574,46691,87265,"TCATS","Thomas"
"48","4R03-064","Tift Transit System","N","Demand Response",59265,3416,9606,0,9606,"N/A","Tift"
"49","4R03-065","Turner County ","N","Demand Response",80491,6846,251,20189,20440,"N/A","Turner"
"50","4R03-066","Wilcox County Transit","N","Demand Response",116291,4738,1168,3912,5080,"N/A","Wilcox"
"51","4R03-070","Montgomery County Transit","N","Demand Response",29509,1782,1222,1578,2800,NA,"Montgomery"
"52","4R03-071","Pierce County Transit","N","Demand Response",219496,12614,2702,12821,15523,"N/A","Pierce"
"53","4R03-073","Telfair County Transit","N","Demand Response",36693,3548,4460,4377,8837,"N/A","Telfair"
"54","4R03-074","Wayne County Transit","N","Demand Response",341567,15285,13493,31463,44956,"N/A","Wayne"
"55","4R03-075","Wheeler County Transit","N","Demand Response",50038,2386,5128,8,5136,"N/A","Wheeler"
"56","4R03-076","Bartow Transit","N","Demand Response",221930,12742,21691,11806,33497,"BCT","Bartow"
"57","4R03-077","Chattooga County Transit","N","Demand Response",76653,5872,8450,0,8450,"N/A","Chattooga"
"58","4R03-080","Dade County Transit","N","Demand Response",115191,7708,12950,5216,18166,"N/A","Dade"
"59","4R03-081","Fannin County  ","N","Demand Response",117010,8549,4666,10288,14954,"- M.A.T.S. -","Pickens"
"60","4R03-082","Gilmer County Transit System","N","Demand Response",108362,7146,3441,8558,11999,"M.A.T.S.","Gilmer"
"61","4R03-083","Gordon County Transit","N","Demand Response",77831,5757,6290,3136,9426,"M.A.T.S.","Gordon"
"62","4R03-084","Haralson  CountyTransit","N","Demand Response",96181,5080,5989,0,5989,"N/A","Haralson"
