"","Sub.Recipient.ID","Funding.Type","Total.Annual.Expenses","Fare.Revenues","Contract.Revenues","Local.Funds","State.Funds","FTA.Capital.Program.funds...5309.","FTA.Special.Needs.of.Elderly.Individuals.and.Individuals.with.Disabilities.Formula.Program.funds...5310.","FTA.Other.than.Urbanized.Area.Formula.funds...5311.","Intercity.Bus.grants...5311.","ARRA.Intercity.Bus.grants...5311.","ARRA.Other.than.Urbanized.Area.Formula.funds...5311.","FTA.Tribal.Transit.funds...5311.","ARRA.Tribal.Transit.funds...5311.","FTA.Job.Access.and.Reverse.Commute.Formula.Program.funds...5316.","FTA.New.Freedom.Program.funds...5317.","X.FTA.Alternative.Transportation.in.Parks.and.Public.Lands.Program.funds...5320..","ARRA.TIGGER..Greenhouse.Gas.and.Energy.Reduction.","Other.FTA.funds","Other.Federal.Funds","Other.Funds","Other.Funds.Description"
"1","4R03-001","Capital",39552,0,NA,0,0,0,0,0,NA,NA,39552,0,0,0,0,0,0,0,0,NA,NA
"2","4R03-003","Capital",34494,NA,NA,NA,NA,NA,NA,NA,NA,NA,34494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","4R03-004","Capital",38591,NA,NA,NA,NA,NA,NA,NA,NA,NA,38591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","4R03-007","Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","4R03-011","Capital",40310,NA,NA,NA,NA,NA,NA,NA,NA,NA,40310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","4R03-017","Capital",41368,NA,NA,NA,NA,NA,NA,NA,NA,NA,41368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","4R03-018","Capital",79284,NA,NA,NA,NA,NA,NA,NA,NA,NA,79284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","4R03-020","Capital",2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","4R03-022","Capital",NA,NA,NA,7317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31198,"Insurance Settlement"
"10","4R03-025","Capital",39428,NA,NA,NA,NA,NA,NA,NA,NA,NA,39428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4R03-026","Capital",42071,NA,NA,NA,NA,NA,NA,NA,NA,NA,42071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4R03-028","Capital",4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4R03-030","Capital",35931,NA,NA,NA,NA,NA,NA,NA,NA,NA,35931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","4R03-031","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","4R03-033","Capital",40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","4R03-034","Capital",75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","4R03-035","Capital",74765,NA,NA,NA,NA,NA,NA,NA,NA,NA,74765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","4R03-036","Capital",119275,NA,NA,NA,NA,NA,NA,NA,NA,NA,119275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","4R03-042","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","4R03-043","Capital",39368,NA,NA,NA,NA,NA,NA,NA,NA,NA,39368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","4R03-046","Capital",44044,NA,NA,NA,NA,NA,NA,NA,NA,NA,44044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","4R03-047","Capital",41582,NA,NA,NA,NA,NA,NA,NA,NA,NA,41582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4R03-049","Capital",39494,NA,NA,NA,NA,NA,NA,NA,NA,NA,39494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4R03-050","Capital",5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,5410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4R03-054","Capital",168740,NA,NA,NA,NA,NA,NA,NA,NA,NA,168740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4R03-055","Capital",79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4R03-063","Capital",125096,NA,NA,NA,NA,NA,NA,NA,NA,NA,125096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4R03-064","Capital",4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4R03-065","Capital",4058,NA,NA,NA,NA,NA,NA,NA,NA,NA,4058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","4R03-066","Capital",39398,NA,NA,NA,NA,NA,NA,NA,NA,NA,39398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4R03-071","Capital",106402,NA,NA,NA,NA,NA,NA,NA,NA,NA,106402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","4R03-074","Capital",83574,NA,NA,NA,NA,NA,NA,NA,NA,NA,83574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4R03-075","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4R03-076","Capital",114871,NA,NA,NA,NA,NA,NA,NA,NA,NA,114871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4R03-077","Capital",75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,75389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4R03-081","Capital",142098,NA,NA,NA,NA,NA,NA,NA,NA,NA,142098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","4R03-083","Capital",114367,NA,NA,NA,NA,NA,NA,NA,NA,NA,114367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","4R03-084","Capital",78742,NA,NA,NA,NA,NA,NA,NA,NA,NA,78742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4R03-085","Capital",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4R03-086","Capital",44192,NA,NA,NA,NA,NA,NA,NA,NA,NA,44192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","4R03-087","Capital",35745,NA,NA,NA,NA,NA,NA,NA,NA,NA,35745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4R03-089","Capital",93056,NA,NA,NA,NA,NA,NA,NA,NA,NA,93056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4R03-090","Capital",936492,NA,NA,NA,NA,NA,NA,NA,NA,NA,936492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4R03-091","Capital",88388,NA,NA,NA,NA,NA,NA,NA,NA,NA,88388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4R03-094","Capital",174106,NA,NA,NA,NA,NA,NA,NA,NA,NA,174106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4R03-099","Capital",55231,NA,NA,NA,NA,NA,NA,NA,NA,NA,55231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4R03-101","Capital",44464,NA,NA,NA,NA,NA,NA,NA,NA,NA,44464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4R03-115","Capital",79164,NA,NA,NA,NA,NA,NA,NA,NA,NA,79164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4R03-116","Capital",2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","4R03-117","Capital",39522,NA,NA,NA,NA,NA,NA,NA,NA,NA,39522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4R03-118","Capital",1312284,NA,NA,NA,NA,NA,NA,NA,NA,NA,934942,NA,NA,377342,NA,NA,NA,NA,NA,NA,NA
"52","4R03-119","Capital",NA,NA,NA,150740,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,NA,NA,NA,602959,NA,"FTA Urbanized Area Formula Program (5307), ARRA Urbanized Area Program Funds (5307)"
"53","4R03-121","Capital",NA,NA,NA,NA,NA,NA,NA,NA,2545115,1018046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4R03-122","Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,1018046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4R03-123","Capital",78928,NA,NA,NA,NA,NA,NA,NA,NA,NA,78928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4R03-124","Capital",257136,NA,NA,14670,14670,NA,NA,NA,NA,NA,122796,NA,NA,105000,NA,NA,NA,NA,NA,NA,NA
