"","Sub.Recipient.ID","Funding.Type","Total.Annual.Expenses","Fare.Revenues","Contract.Revenues","Local.Funds","State.Funds","FTA.Capital.Program.funds...5309.","FTA.Special.Needs.of.Elderly.Individuals.and.Individuals.with.Disabilities.Formula.Program.funds...5310.","FTA.Other.than.Urbanized.Area.Formula.funds...5311.","Intercity.Bus.grants...5311.","ARRA.Intercity.Bus.grants...5311.","ARRA.Other.than.Urbanized.Area.Formula.funds...5311.","FTA.Tribal.Transit.funds...5311.","ARRA.Tribal.Transit.funds...5311.","FTA.Job.Access.and.Reverse.Commute.Formula.Program.funds...5316.","FTA.New.Freedom.Program.funds...5317.","X.FTA.Alternative.Transportation.in.Parks.and.Public.Lands.Program.funds...5320..","ARRA.TIGGER..Greenhouse.Gas.and.Energy.Reduction.","Other.FTA.funds","Other.Federal.Funds","Other.Funds","Other.Funds.Description"
"1","4R03-001","Capital",39552,0,NA,0,0,0,0,0,NA,NA,39552,0,0,0,0,0,0,0,0,NA,NA
"2","4R03-001","Operations",83141,20304,NA,32298,0,0,0,30539,NA,NA,0,0,0,0,0,0,NA,0,NA,0,NA
"3","4R03-003","Capital",34494,NA,NA,NA,NA,NA,NA,NA,NA,NA,34494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","4R03-003","Operations",202148,20215,NA,90966,NA,NA,NA,90967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","4R03-004","Capital",38591,NA,NA,NA,NA,NA,NA,NA,NA,NA,38591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","4R03-004","Operations",180060,25658,12500,45801,NA,NA,NA,77201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18900,NA,"Funds include Medicaid, various Health and Human Services, Department of Labor and 5310 sources"
"7","4R03-005","Operations",497711,10538,NA,263377,NA,NA,NA,223796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","4R03-006","Operations",62746,6579,NA,29022,NA,NA,NA,27145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","4R03-007","Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","4R03-007","Operations",NA,25801,NA,128865,NA,NA,NA,228443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230847,"Purchase of Service - DHS, these funds are both 5310 and other federal funds, DHS does not detail its federal funding sources"
"11","4R03-008","Operations",66260,13154,NA,26558,NA,NA,NA,26548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
