"","NTDID","Agency","SSW","Mode","TOS","Capital.Use.Type","Guideway","Passenger.Stations","Administrative.Buildings","Maintenance.Buildings","Revenue.Vehicles","Service.Vehicles..non.revenue.","Fare.Revenue.Collection.Equipment","Communications.Information.Systems","Other","Small.Systems.Waiver","Total.Funds"
"1","4021","Albany Transit System","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","4021","Albany Transit System","N","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","4021","Albany Transit System","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4","4021","Albany Transit System","N","MB","DO","Existing Service",NA,172360,NA,9772,NA,18210,44546,72917,32950,NA,350755
"5","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Existing Service",NA,NA,NA,3533658,9322,NA,NA,NA,NA,NA,3542980
"6","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7","4022","Metropolitan Atlanta Rapid Transit Authority","N","HR","DO","Existing Service",46198672,33332867,14384830,3217670,12040947,1438783,985524,19677862,3429,NA,131280584
"8","4022","Metropolitan Atlanta Rapid Transit Authority","N","HR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9","4022","Metropolitan Atlanta Rapid Transit Authority","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10","4022","Metropolitan Atlanta Rapid Transit Authority","N","MB","DO","Existing Service",NA,89209,1510372,6239704,4407226,24410,33750,24094867,179471,NA,36579009
"11","4023","Augusta Richmond County Transit Department","N","DR","PT","Existing Service",NA,NA,NA,131913,NA,NA,NA,NA,12741,NA,144654
"12","4023","Augusta Richmond County Transit Department","N","DR","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13","4023","Augusta Richmond County Transit Department","N","MB","PT","Existing Service",NA,NA,NA,296803,NA,NA,NA,NA,41515,NA,338318
"14","4023","Augusta Richmond County Transit Department","N","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"15","4024","Metra Transit System (Columbus, GA)","Y","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16","4024","Metra Transit System (Columbus, GA)","Y","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17","4024","Metra Transit System (Columbus, GA)","Y","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18","4024","Metra Transit System (Columbus, GA)","Y","MB","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,3236417,3236417
"19","4024","Metra Transit System (Columbus, GA)","Y","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20","4024","Metra Transit System (Columbus, GA)","Y","MB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21","4025","Chatham Area Transit Authority","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22","4025","Chatham Area Transit Authority","N","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23","4025","Chatham Area Transit Authority","N","DR","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24","4025","Chatham Area Transit Authority","N","DR","PT","Existing Service",NA,NA,NA,NA,195816,NA,NA,NA,NA,NA,195816
"25","4025","Chatham Area Transit Authority","N","FB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"26","4025","Chatham Area Transit Authority","N","FB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"27","4025","Chatham Area Transit Authority","N","FB","PT","Existing Service",NA,NA,NA,NA,720982,NA,NA,NA,NA,NA,720982
"28","4025","Chatham Area Transit Authority","N","FB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"29","4025","Chatham Area Transit Authority","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"30","4025","Chatham Area Transit Authority","N","MB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"31","4025","Chatham Area Transit Authority","N","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"32","4025","Chatham Area Transit Authority","N","MB","PT","Existing Service",NA,NA,4483215,2402496,324364,63041,NA,215955,NA,NA,7489071
"33","4047","Athens Transit System","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"34","4047","Athens Transit System","N","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,9760,22611,NA,NA,32371
"35","4047","Athens Transit System","N","MB","DO","Existing Service",NA,1806718,853812,NA,1618747,NA,32736,296433,NA,NA,4608446
"36","4047","Athens Transit System","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"37","4058","City of Rome Transit Department","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"38","4058","City of Rome Transit Department","N","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"39","4058","City of Rome Transit Department","N","MB","DO","Existing Service",NA,NA,47998,NA,93035,NA,40000,130451,20971,NA,332455
"40","4058","City of Rome Transit Department","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
