"","NTDID","Agency","SSW","Mode","TOS","Operating.Expense.Category","Operators.salaries.and.wages","Other.salaries.and.wages","Fringe.Benefits","Services","Fuel.and.lubricants","Tires.and.tubes","Other.materials.and.supplies","Utilities","Casualty.and.Liability.Costs","Taxes","Purchased.Transportation.In.Report","Purchased.Transportation.Filing.Separate.Report","Miscellaneous.Expenses","Small.Systems.Waiver.Expenses","Total.Modal.Expenses","ADA.Related.Expenses"
"1","4021","Albany Transit System","N","DR","DO","General Administration",NA,19685,11360,6247,NA,NA,4380,6337,7162,NA,NA,NA,2442,NA,NA,NA
"2","4021","Albany Transit System","N","DR","DO","Non-Vehicle Maintenance",NA,1229,455,6351,NA,NA,2601,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","4021","Albany Transit System","N","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417169,417169
"4","4021","Albany Transit System","N","DR","DO","Vehicle Maintenance",NA,33597,24970,3287,3270,87,23073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","4021","Albany Transit System","N","DR","DO","Vehicle Operations",109807,25760,76885,526,39770,7888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","4021","Albany Transit System","N","MB","DO","General Administration",NA,111549,64371,35398,NA,NA,24817,35909,40585,NA,NA,NA,13837,NA,NA,NA
"7","4021","Albany Transit System","N","MB","DO","Non-Vehicle Maintenance",NA,6964,2581,35988,NA,NA,14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","4021","Albany Transit System","N","MB","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2358690,NA
"9","4021","Albany Transit System","N","MB","DO","Vehicle Maintenance",NA,190381,141494,18629,18530,495,130747,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","4021","Albany Transit System","N","MB","DO","Vehicle Operations",470054,145975,350612,2979,457358,44697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","General Administration",NA,1393354,1069677,69229,NA,NA,23616,104757,192604,NA,NA,NA,18547,NA,NA,NA
"12","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Non-Vehicle Maintenance",NA,157775,121123,1555,NA,NA,12704,NA,NA,NA,NA,NA,708,NA,NA,NA
"13","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26807055,26807055
"14","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Vehicle Maintenance",NA,1752298,1345240,6096,281564,42631,588795,NA,NA,40,NA,NA,752,NA,NA,NA
"15","4022","Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Vehicle Operations",7198229,1930181,7007881,15219,3051356,376741,10301,NA,NA,NA,NA,NA,34082,NA,NA,NA
"16","4022","Metropolitan Atlanta Rapid Transit Authority","N","HR","DO","General Administration",NA,24108582,18642346,4866504,NA,NA,924885,5492693,3954544,2673,NA,NA,875009,NA,NA,NA
