"","NTDID","Agency","SSW","Mode","TOS","Time.Period","Time.Service.Begins","Time.Service.Ends","Vehicles.in.Operation","Actual.Vehicle.Miles","Vehicle.Revenue.Miles","Deadhead.Miles","Scheduled.Vehicle.Revenue.Miles","Actual.Vehicle.Hours","Vehicle.Revenue.Hours","Deadhead.Hours","Charter.Service.Hours","School.Bus.Hours","Train.Cars.in.Operation","Actual.Miles","Revenue.Miles","Deadhead.Miles.1","Actual.Hours","Revenue.Hours","Deadhead.Hours.1","Unlinked.Passenger.Trips","ADA.Trips","Sponsored.Service.Trips","Passenger.Miles.Traveled","Days.of.Service.Operated","Days.not.operated.due.to.strikes","Strike.description","Days.not.operated.due.to.officially.declared.emergencies","Emergency.description"
"1",4021,"Albany Transit System","N","DR","DO","Annual Total",NA,NA,NA,"94,460","89,665","4,795","","6,609","6,398","211","",NA,NA,"","","","","","","11,525","11,525","","65,717",305,0,NA,0,NA
"2",4021,"Albany Transit System","N","MB","DO","Annual Total",NA,NA,NA,"524,506","512,328","12,178","512,460","33,098","30,849","2,249","",NA,NA,"","","","","","","1,007,690","","","4,813,231",305,NA,NA,NA,NA
"3",4022,"Metropolitan Atlanta Rapid Transit Authority","N","DR","DO","Annual Total",NA,NA,NA,"8,282,952","6,691,460","1,591,492","","457,772","372,023","85,749","",NA,NA,"","","","","","","581,721","581,721","","7,707,939",365,0,NA,0,NA
"4",4022,"Metropolitan Atlanta Rapid Transit Authority","N","HR","DO","Annual Total",NA,NA,NA,"18,639,465","17,916,149","723,316","17,183,118","715,229","683,037","32,192","",NA,NA,"3,215,210","3,127,046","88,164","128,134","122,285","5,849","69,629,901","","","444,043,156",365,0,NA,0,NA
"5",4022,"Metropolitan Atlanta Rapid Transit Authority","N","MB","DO","Annual Total",NA,NA,NA,"25,849,504","22,742,706","3,106,798","22,723,153","2,008,796","1,863,322","145,474","1,729",0,NA,"","","","","","","59,689,757","","","230,560,804",365,0,NA,0,NA
"6",4023,"Augusta Richmond County Transit Department","N","DR","PT","Annual Total",NA,NA,NA,"153,324","132,380","20,944","","14,545","12,686","1,859","",NA,NA,"","","","","","","18,404","18,404","","84,710",303,NA,NA,NA,NA
"7",4023,"Augusta Richmond County Transit Department","N","MB","PT","Annual Total",NA,NA,NA,"552,326","509,438","42,888","510,039","44,729","42,184","2,545","",NA,NA,"","","","","","","745,349","","","2,549,253",303,NA,NA,NA,NA
"8",4024,"Metra Transit System (Columbus, GA)","Y","DR","DO","Annual Total",NA,NA,NA,"","218,784","","","","14,700","","",NA,NA,"","","","","","","34,802","","0","",NA,NA,NA,NA,NA
"9",4024,"Metra Transit System (Columbus, GA)","Y","MB","DO","Annual Total",NA,NA,NA,"","897,082","","","","64,963","","",NA,NA,"","","","","","","1,098,687","","","",NA,NA,NA,NA,NA
"10",4025,"Chatham Area Transit Authority","N","DR","DO","Annual Total",NA,NA,NA,"88,264","86,536","1,728","","6,510","6,366","144","",NA,NA,"","","","","","","10,501","10,501","","85,283",46,NA,NA,NA,NA
